1|2011年前十一个月，某省高新技术产业完成总产值3763.00亿元，实现增加值896.31亿元。增加值同比增长30.74%，比规模以上工业增加值高11.64个百分点，占规模以上工业增加值的比重达到25.32%。高新技术产业各领域的增加值如下图所示：|40.png
2|2011年发现违法用地行为7.0万件，涉及土地5.0万公顷（耕地1.8万公顷），同比分别上升5.8%、11.0%（耕地下降2.4%）。立案查处违法用地案件4.2万件，涉及土地4.4万公顷（耕地1.5万公顷），同比分别上升2.5%、11.4%（耕地下降5.7%）。依法拆除违法构建筑物1289.8万平方米，收回土地3791.2公顷（耕地1064.7公顷），罚没款26.5亿元。|41.png
3|"  截至2011年4月21日22时，沪深两市已有534家上市公司公布第一季度财报。这534家公司实现营业总收入4572.78亿元，同比增长30.74%；实现净利润336.7亿元，同比增长30.52%。不过，一季度销售收入和净利润环比则有所下降，其中营业总收入环比下降12%，净利润环比下降25%。这534家公司2011年一季度存货6167.68亿元，较上年年末增长10%。
  已公布一季度的创业板公司有71家，实现营业收入80.08亿元，同比增长73.60%；实现净利润13.16亿元，同比增长80%。已公布一季报的中小企业板公司有202家，实现营业收入789.97亿元，同比增长36%；实现净利润73.25亿元，同比增长25%。25家已公布一季报的房地产公司一季度实现营业收入193.68亿元，同比增长9%；实现净利润29.97亿元，同比增长31%；存货2892.18亿元，同比增长10%。
  已公布一季报的6家钢铁公司一季度存货为322亿元，实现营业收入493.39亿元，同比略有降低，环比下降20%；实现净利润12.65亿元，同比增长62%，环比表现更好，这6家公司2010年四季度净亏损3.77亿元。
  建筑机械类公司持续了之前的景气度，有4家公司公布一季报，实现营业总收入15.90亿元，同比增长39%；实现净利润1.18亿元，同比增长47.5%。"|
4|2011年全国农民工总量达到25278万人，比上年增加1055万人，增长4.4%。农民工从业仍以制造业、建筑业和服务业为主，从事建筑业的比重明显提高。从农民工的就业地区来看，2011年在东部地区务工的农民工16537万人，比上年增加324万人；在中部地区务工的农民工4438万人，比上年增加334万人，增长8.1%；在西部地区务工的农民工4215万人，比上年增加370万人，增长9.6%。|42.png
5|"2010年，我国进出口贸易总额为29727.6亿美元，同比增长34.7%  
 
2010年，我国机电产品出口9334.3亿美元，同比增加30.9%; 高新技术产品出口4924.1亿美元，同比增长30.7%。船舶、汽车零部件出口保持较快增长，其中船舶出口同比增长的44.5%，汽车零部件出口同比增长44.1% .  
 
2010年，机电产品进口额达到6603.1亿美元，同比增长34.4%，高新技术产品进出口额达到4126.1亿美元，同比增长33.2%"|75.png
6||76.png
7|2010年底，全国高速公路里程为7.41万公里，居世界第二位，比“十一五”规划目标增加9108公里。其中，国家高速公路5.77万公里，比上年末增加0.54万公里。“五纵七横”12条国道主干线提前13年全部建成。全国有11个省份的高速公路里程超过3000公里。|77.png
8|"2010年，某省广电实际总收入为145.83亿元，同比增长32.07%。其中，广告收入为67.08亿元，同比增长25.88%；有线网络收入为45.38亿元，同比增长26.35%；其他收入为33.37亿元，同比增长57.3%。  
 
2010年，该省广电收入中，省级收入为65.32亿元比上年增加15.5亿元；地市级收入为41.61亿元，比上年增加13.39亿元；县级收入为38.90亿元，比上年增加6.52亿元。  
 
2010年该省各市、县广电收入的区域分布如下：  
 
东部地区50.06亿元，同比增长32.48%，占市县收入份额的62.18%，该地的市均收入为10.01亿元，上年同期为7.56亿元。中部地区17.78亿元，同比增长40.70%，该地区的市均收入为5.93亿元，上年同期为4.21亿元。西部地区12.67亿元，同比增长80.86%，该地区的市均收入为2.53亿元，上年同期为1.4亿元。  
 
截止2010年底，该省有线电视用户数为1885.88万户，比上年末净增161.7万户。其中有线数字电视用户为1007.8万户，比上年末净增277.58万户。
"|
9|2008年世界稻谷总产量68501.3万吨，比2000年增长14.3%；小麦总产量68994.6万吨，比2000年增长17.8%；玉米总产量82271.0万吨，比2000年增长39.1%；大豆总产量23095.3万吨，比2000年增长43.2%。|113.png
10|"2010年上半年，全国原油产量为9848万吨，同比增长5.3%，上年同期为下降1%。进口原油11797万吨（海关统计），增长30.2%。原油加工量20586万吨，增长17.9%，增速同比加快16.4个百分点。成品油产量中，汽油产量增长6%，增速同比减缓7.9个百分点；柴油产量增长28.1%，增速同比加快15.8个百分点。
据行业统计，2010年上半年成品油表观消费量10963万吨，同比增长12.5%。其中，一、二季度分别增长16.3%和9.2%。
201O年6月份，布伦特原油平均价格为75.28美元/桶，比上月回落1.75美元/桶，同比上涨10.4%。结合国际市场油价变化情况，国家于6月1日将汽油、柴油批发价格分别下调230元/吨和220元/吨。
2010年上半年，全国天然气产量459亿立方米，同比增长10.8%，增速同比加快3.2个百分点。国家于6月1日将国产陆上天然气出厂基准价格上调了230元/千立方米。
2010年1-5月，石油石化行业实现利润1645亿元，同比增长76.4%，上年同期为下降35.4%。其中，石油天然气开采业利润1319亿元，同比增长1.67倍，上年同期为下降75.8%，炼油行业利润326亿元，同比下降25.7%，上年同期为增长1.8倍。
"|
11|2010年一季度，我国水产品贸易进出口总量158.7万吨，进出口总额40.9亿美元，同比分别增长14.2%和29.0%．其中，出口量67.1万吨，出口量67.1万吨，出口额26.5亿美元，同比分别增长11.7%和24.9%;进口量91.6万吨，进口额14.4亿美元，同比分别增长16.0%和37.5%。|114.png
12|"中国汽车工业协会发布的2009年4月份中国汽车产销数据显示，在其他国家汽车销售进一步疲软的情况下，国内乘用车销量却持续上升，当月销量已达83．1万辆，比3月份增长7．59％，同比增长37．37％。 
    乘用车细分为基本型乘用车(轿车)、多功能车(MPV)、运动型多用途车(SUV)和交叉型乘用车。其中，轿车销量比3月份增长8．3％，同比增长33．04％；MPV销量比3月份下降3．54％，同比下降4．05％；SUV销量比3月份增长19．27％，同比增长22．55％；交叉型乘用车销量比3月份增长3．62％，同比增长70．66％。轿车、MPV、SUV和交叉型乘用车销量占4月份乘用车总销量的比重分别为71％、2％、6％和21％。"|
13|2008年，某省农产品进出口贸易总额为7．15亿美元，比上年增长25．2％。其中，出口额为5．02亿美元，增长22．1％；进口额为2．13亿美元，增长33．2％。农产品进出口贸易额占全省对外贸易总额的4．5％。出口额居前5位的产品为蔬菜、畜产品、水果、粮食和茶叶，而绿茶出口额占茶叶出口额的四分之三。全省农产品对东欧、非洲、拉美等国家和地区的市场进一步开拓，出口额比上一年进一步增长。其中，对美国的出口额增长16．0％；对日本的出口额增长7．3％；对韩国的出口额增长59．8％；对东盟的出口额增长58．6％。|245.png
14||246.png
15||247.png
16|新中国成立后，经过60年特别是改革开放以来的建设，我国公共卫生体系初步建立，卫生服务能力明显增强。2008年全国共有卫生机构27．8万个，比1949年增加约75倍；卫生技术人员为503万人，比1949年增加9．0倍；医院和卫生院床位数为374．8万张，比1949年增加45．9倍；每千人口医院、卫生院床位数为2．8张，远高于1949年0．15张的水平。|248.png
17|在2008年8月8日至24日奥运会期间，北京市的空气质量不仅天天达标，而且在10天达到一级，全面兑现了对奥运会空气质量的承诺。下图是2008年1—8月北京市大气质量检测情况，图中一、二、三、四级是空气质量等级。一级空气质量最好，一级和二级都是质量达标天气。2008年北京市的空气质量控制目标是全年达标天数累计达256天。|275.png
18|2006年，全国农村外出从业劳动力中，男性劳动力8134万人，占“％，从年龄构成上看，20岁以下占16.1%。21—30岁占36.5%； 31—40岁占29.5%；41—50占12.8%；51岁以上占5.1%。从文化程度看，文盲占1.2%；小学文化程度占18.7%；初中文化程度占8.7%；大专及以上文化程度占1.3%。|276.png
19||277.png
20|"全国2007年认定登记的技术合同共计220868项，同比增长7%,总成交金额2226亿元，同比增长22.44%平均每项技术合同成交金额突破百万元大关，达到100.78万元。
2007年全国共签订技术开发合同73320项，成交金额876亿元，分别比上年增长13.5%和22.2%共签订技术转让合同11474项，成交金额420亿元，成交金额同比增长30.8%。技术服务和技术咨询合同成交金额分别为840亿元和90亿元，分别比上年增长了209%和5.9%。
2007年，在全国认定登记的技术合同中。涉及技术秘密，计算机软件，专利，集成电路，生物医院，动植物新品种等各类知识产权的技术合同共计109740项，成交金额1477亿元，较上年增长刀5％，其中，技术秘密和计算机软件著作权的技术交易成交额居第一，第二，技术秘密合同成交76261项，成交金额1008亿元，较上年增长292%:计算机软件著作权合同成交27617项，成交金额255亿元，较上年增长了15.4%"|278.png
