1|1|1|《国家“十二五”时期文化改革发展规划纲要》提出要加大政府对文化事业建设的投入力度。下列属于政府投入保障政策的是（  ）|支持文化企业在海外投资、投标、营销、参展和宣传等活动|继续完善文化市场的准入政策，吸引社会资本投资文化产业|文化内容创意生产、非物质文化遗产项目经营享受税收优惠|通过政府购买服务的方式，鼓励社会力量提供公共文化产品|D|对于“政府投入保障政策”，《国家“十二五”时期文化改革发展规划纲要》作出明确表述，“转变投入方式，通过政府购买服务、项目补贴、以奖代补等方式，鼓励和引导社会力量提供公共文化产品和服务，促进文化产业发展”。因此D项正确。A、B两项属于“文化贸易促进政策”，C项属于“文化经济政策”。|||||||常识判断|未完成||单选||0
2|2|1|关于中国共产党历史上的重要会议，下列说法不正确的是（  ）|古田会议：解决新型人民军队建设问题|遵义会议：纠正“左倾”的军事路线|洛川会议：决定北上抗日的总方针|瓦窑堡会议：确定建立抗日民族统一战线的方针政策|C|1937年8月22日至25日，中共中央在陕北洛川召开政治局扩大会议，即“洛川会议”。此次会议通过了《抗日救国十大纲领》，决定把党的工作重心放在敌后，在敌后放手发动群众，开展独立自主的游击战争，开辟敌后战场，建立敌后抗日根据地。因此C项说法错误。“决定北上抗日的总方针”于1935年6月的“两河口”会议确定。|||||||常识判断|未完成||单选||0
3|3|1|中国人民艰苦卓绝的革命斗争中，诞生了不少脍炙人口的歌曲。下列歌词均来自这些著名歌曲，其中创作时期与其他三首不同的是（  ）|河西山冈万丈高，河东河北高粱熟了|我们生长在这里，每一寸土地都是我们自己的|每个人被迫着发出最后的吼声|宽广美丽的土地，是我们亲爱的家乡|D|A项是《黄河大合唱》里的歌词。B项是《游击队之歌》里的歌词。C项是《义勇军进行曲》里的歌词。《黄河大合唱》是冼星海于1938年创作；《游击队之歌》由贺绿汀1937年作成；《义勇军进行曲》原是聂耳于1935年，为影片《风云儿女》所作的主题歌。后来成为中国最著名的抗战歌曲。新中国成立后，它被定为中华人民共和国国歌。D项是《歌唱祖国》里的歌词。《歌唱祖国》是王莘于1950年创作的爱国歌曲。前三首歌都诞生于抗击日本帝国主义侵略的年代，而第四首歌诞生于新中国建立后，因此D项符合题意。|||||||常识判断|未完成||单选||0
4|4|1|下列经济指标与衡量对象对应关系正确的是（  ）|赤字率──财政风险|恩格尔系数──收入分配差距|基尼系数──居民生活水平|生产者物价指数──货币供应量|A|恩格尔系数应对应居民生活水平，排除B项。基尼系数应对应收入分配差距，排除C项。生产者物价指数衡量工业企业产品出厂价格变动趋势和变动程度的指数，是反映某一时期生产领域价格变动情况的经济指标，排除D项。A项对应正确。|||||||常识判断|未完成||单选||0
5|5|1|下列不属于收入再分配手段的是（  ）|最低工资保障|最低生活保障|税收|社会保险|A|最低生活保障、税收、社会保险都属于收入再分配手段，B、C、D三项说法正确。而最低工资保障属于初次分配的内容，因此A项符合题干要求。|||||||常识判断|未完成||单选||0
6|6|1|"下列诗句反映的历史事件，按时间先后排序正确的是（  ）
①北师覆没威海卫，签订条约在马关
②鸦片带来民族难，销烟虎门海滩前
③武装起义占三镇，武昌汉口和汉阳
"|①③②|②③①|①②③|②①③|D|①句反映的事件是1894─1895的“中日甲午战争”以及1895年签订的《马关条约》。②句反映的事件是1839年的“虎门销烟”。③句反映的事件是1911年的“武昌起义”。因此时间先后顺序是②①③，D项正确。|||||||常识判断|未完成||单选||0
7|7|1|某县开展行政执法大检查：①某食品厂生产腐竹时非法添加硼砂被当场查获，县工商局以证据确凿为由吊销该厂营业执照，不再另行举行听证会；②县矿业公司将含镉的工业废渣倾倒入河，造成河水镉浓度超标，县环保局、县水利局分别决定对其罚款10万元和5万元；③县卫生局接到群众举报某火锅店使用过期牛油，遂派一工作人员前往检查，对牛油进行查封、送检。上述县直单位做法妥当的是（  ）|县工商局|县环保局|县水利局|县卫生局|B|根据《工商行政管理机关行政处罚案件听证规则》第六条：工商行政管理机关作出下列行政处罚决定之前，应当告知当事人有要求举行听证的权利。其中一条包括“吊销、收缴或者扣缴营业执照、吊销广告经营许可证、撤销商标注册、撤销特殊标志登记”。可知①句的工商局的做法不妥当。根据《中华人民共和国水污染防治法》第八条：县级以上人民政府环境保护主管部门对水污染防治实施统一监督管理。可知②句的罚款应由县环保局决定。又根据《中华人民共和国行政处罚法》第二十四条：对当事人的同一个违法行为，不得给予两次以上罚款的行政处罚。 所以②句的县水利局做法不对。根据《卫生监督执法检查程序》规定：卫生监督执法人员在进行现场检查时应不少于2人，穿戴制服，出示行政执法证件，说明来意及检查依据，告知被检查人的权利和义务。可知③句的县卫生局做法不妥当。因此B项正确。|||||||常识判断|未完成||单选||0
8|8|1|下列法律现象与概念对应错误的是（  ）|春秋之治狱，论心定罪──自由裁量权|载于简牍谓之书，合而验之谓之契──合同|一兔走，百人追之；积兔于市，过而不顾──物权|罪疑惟轻，功疑惟重，与其杀不辜；宁失不经──疑罪从无|A|“春秋之治狱，论心定罪”应对应“原心定罪”。即断狱定罪要从犯罪事实出发，但主要的不是看事实，而是追究犯罪动机和犯罪原因及罪犯的心理状态。凡心术不正，主观为恶，有犯罪动机，即使犯罪未遂，或犯的是小罪，也要加以惩罚和重罚。相反，如果所犯者动机、目的合乎道德人情，只属于过失，虽然违法也可以免于处罚或减轻处罚，甚至犯大罪的也可以宽宥。|||||||常识判断|未完成||单选||0
9|9|1|下列做法符合我国法律规定的是（  ）|某公立大学以其教学大楼产权作抵押向银行申请贷款|某乡镇企业以所属土地所有权作抵押向银行申请贷款|某农民以所属宅基地的使用权作抵押向银行申请贷款|某国有企业以所属土地使用权作抵押向银行申请贷款|D|我国《物权法》第一百八十四条规定：下列财产不得抵押：（一）土地所有权；（二）耕地、宅基地、自留地、自留山等集体所有的土地使用权，但法律规定可以抵押的除外；（三）学校、幼儿园、医院等以公益为目的的事业单位、社会团体的教育设施、医疗卫生设施和其他社会公益设施。A项的“教学大楼”属于以公益为目的的学校，不得抵押。B项的“土地所有权”不得抵押。C项的“宅基地”不得抵押。D项的土地使用权可以抵押，正确。|||||||常识判断|未完成||单选||0
10|10|1|“天下九塞，雁门为首”，下列诗词描写“雁门关”的是（  ）|黑云压城城欲摧，甲光向日金鳞开|出关去，往辽东，诏徙十万填新丰|长城饮马寒宵月，古戍盘雕大漠风|八百里分麾下炙，五十弦翻塞外声，沙场秋点兵|A|黑云压城城欲摧，甲光向日金鳞开”出自唐朝李贺《雁门太守行》，描写的是雁门关，因此A项正确。“出关去，往辽东，诏徙十万填新丰”出自清朝尤侗的《出关行》，描写的是山海关，排除B项。“长城饮马寒宵月，古戍盘雕大漠风”出自清朝林则徐的《出嘉峪关感赋》，写的是嘉峪关，排除C项。“八百里分麾下炙，五十弦翻塞外声，沙场秋点兵”出自南宋辛弃疾的《破阵子?为陈同甫》，“沙场”泛指战场，并不特指，排除D项。|||||||常识判断|未完成||单选||0
11|11|1|下列作品与评价对应不正确的是（  ）|《桃花扇》──借离合之情，写兴亡之感|《石头记》──满纸荒唐言，一把辛酸泪|《儒林外史》── 一部儒林，终之以琴，滔滔天下，谁是知音|《聊斋志异》──使神魔皆有人情，精魅亦通世故|D|“神魔皆有人情，精魅亦通世故”语出鲁迅对《西游记》的评价。|||||||常识判断|未完成||单选||0
12|12|1|下列表述正确的是（  ）|人的唾液是由舌头分泌的|胆分泌胆汁不足，容易导致胆囊炎|食盐、鱼肝油可被消化道直接吸收|正常情况下，卵细胞在子宫内受精|B|人的唾液是由口腔内的唾液腺分泌的，A项错误。鱼肝油是脂肪油，需要经过消化转化为甘油和脂肪酸才能被小肠吸收，C项错误。正常情况下，卵细胞在输卵管内受精，在子宫内发育，D项错误。|||||||常识判断|未完成||单选||0
13|13|1|关于中药，下列归类正确的是（  ）|辛味药：连翘、杏仁|甘味药：当归、人参|酸味药：陈皮、黄连|苦味药：黄柏、乌梅|B|杏仁属于苦味药，A项错误。陈皮属于辛味药，C项错误。乌梅属于酸味药，D项错误。|||||||常识判断|未完成||单选||0
14|14|1|国家气象局地面观测规范规定，降水量仅包括垂直降水，即由空中降落到地面上的水汽凝结物。按照这一标准，下列哪组现象都会被计入“降水量”（  ）|雹、霜、雾|雨、雪、霜|雪、露、雾|雨、雪、雹|D|雨、雪、雹都是由空中降落到地面的水汽凝结而成，属于垂直降水，D项正确。雾是空气中的水汽凝结成水滴而悬浮于空中。露是凝结在地面或植物上的小水滴。霜是水蒸气在地面上遇冷凝华附在物体表面而形成。雾、露、霜都不属于垂直降水，排除A、B、C三项。|||||||常识判断|未完成||单选||0
15|15|1|关于地球生物演化史，下列哪组排序是正确的（  ）|蓝藻→蕨类→裸子植物→被子植物|节肢动物→草履虫→软体动物→脊椎动物|细菌→腔肠动物→爬行类→鱼类|苔藓→绿藻→菌类→双子叶植物|A|B项的顺序应为：草履虫→软体动物→节肢动物→脊椎动物。C项的顺序应为：细菌→腔肠动物→鱼类→爬行类。D项顺序应为：菌类→绿藻→苔藓→双子叶植物。A项顺序正确。|||||||常识判断|未完成||单选||0
16|16|1|下列卫星系列不属于我国对地观测卫星的是（  ）|“海洋”|“风云”|“天绘”|“北斗”|D|对地观测卫星用于对地球进行遥感的各种人造地球卫星和航天器。我国对地观测卫星主要有“风云”、“海洋”、“资源”、“遥感”、“天绘”等系列。“北斗”系列卫星是导航卫星。因此D项符合题干要求。|||||||常识判断|未完成||单选||0
17|17|1|《萨马拉斯颂歌》1958年被正式确定为现代奥林匹克运动会永久会歌，并改名《奥林匹克颂歌》。下列关于该会歌的表述错误的是（  ）|《奥林匹克颂歌》是首庄严悠扬的乐曲|开、闭幕式都要演唱《奥林匹克颂歌》|《萨马拉斯颂歌》改编自古罗马管弦乐|《萨马拉斯颂歌》出现时间早于五环旗|C|《萨马拉斯颂歌》是一曲优美而庄严的古典管弦乐曲，由希腊人斯皮罗斯?萨马拉斯作曲、科斯蒂斯?帕拉马斯作词，曾在1896年雅典第一届奥运会开幕式上演奏过。五环旗于1913年根据皮埃尔?德?顾拜旦的构思而设计制作的。因此C项符合题干要求。|||||||常识判断|未完成||单选||0
18|18|1|从3月下旬到10月上旬，太阳在地球上直射位置的移动规律是（  ）|赤道→南回归线→赤道 |赤道→北回归线→赤道|南回归线→赤道→北回归线|北回归线→赤道→南回归线|B|春分（3月20日或21日）时太阳直射赤道，随后逐渐北移。夏至（6月21或22日）时，太阳直射北回归线，后南移。秋分（9月22或23日）时太阳直射赤道，之后继续南移。冬至（12月21或22或23日）时直射南回归线。因此B项正确。|||||||常识判断|未完成||单选||0
19|19|1|对下列道路交通标志解释不正确的是（  ）|"注意儿童
"|"注意行人
"|"前方有施工
"|"“徒步”旅游
"|B|B项图标代表禁止行人通行。||1.png|2.png|3.png|4.png||常识判断|未完成||单选||0
20|20|1|下列谚语与农业生产经验不符的是（  ）|人在屋里热得跳，稻在田里哈哈笑|麦苗盖上雪花被，来年枕着馍馍睡|立秋无雨样样有，立秋有雨收半秋|下秧太冷怕烂秧，小秧出水怕青霜|C|C项表述错误，应是“立秋有雨样样有，立秋无雨收半秋”。立秋这天无雨预示着秋季会比较干旱，影响收成。|||||||常识判断|未完成||单选||0
21|21|1|莫里哀曾说：“喜剧的责任，就是通过娱乐来纠正人的缺点。”近年来的法国轻喜剧，尤其擅长____      ，用淡淡的笑声拆解社会难题的九连环，具有较高的思想价值和现实意义。填入划横线部分最恰当的一项是（  ）|举重若轻   |借古讽今|微言大义|振聋发聩|A|微言大义”指包含在精微语言里的深刻道理。“举重若轻”比喻能力强，能够轻松地胜任繁重的工作或处理困难的问题。“借古讽今”指借评论古代的人和事来影射讽刺现实。“振聋发聩”比喻用语言文字唤醒糊涂麻木的人，使他们清醒过来。句意强调轻喜剧能“用淡淡的笑声拆解社会难题的九连环”，“举重若轻”符合语境，因此A项正确。|||||||言语理解与表达|未完成||单选||0
22|22|1|"在人类历史上，科级发明和人工工程曾导致不少“出人意料”、“始料不及”甚至“_____”的结果。如果想少出一些这样的事，我们就应该对大自然始终保持一份_____，在推广新技术、上马新工程之前多一些研究评估，少一些独断专行。
依次填入划横线部分最恰当的一项是（  ）"|事与愿违  敬畏|事倍功半  谨慎|针锋相对  尊重|南辕北辙  克制|A|第一空，根据“甚至”可知，应填入与“出人意料”、“始料未及”语义相近且程度更深的词语。“事与愿违”指原来打算做的事没能做到。“事倍功半”形容做事的方法费力大，收效小。“针锋相对”比喻双方在策略、论点及行动方式等方面尖锐对立。“南辕北辙”比喻行动和目的正好相反。“事倍功半”与“针锋相对”明显不符合句意。“南辕北辙”程度过于强烈，“事与愿违”更符合语境。并且第二空处，对自然的态度一般是“敬畏”。因此A项正确。|||||||言语理解与表达|未完成||单选||0
23|23|1|舞台上，一个是中国京剧大师，一个是交响乐指挥家；一会儿传来韵味十足的京腔，一会儿又是沁人心脾的管弦乐。面对京剧传承的尴尬和交响乐普及的艰难，这种“抱团取暖”的方式，把两个不搭界的艺术形式进行“嫁接”，究竟是______还是异想天开？填入划横线部分最恰当的一项是（  ）|相得益彰|取长补短|推陈出新|移花接木|A|“相得益彰”指两个人或两件事物互相配合，使双方的能力、作用更能显示出来。“取长补短”指吸取别人的长处，来弥补自己的不足之处。“推陈出新”指对旧文化进行分析批判，取其精华，去其糟粕。“移花接木”比喻暗中用手段更换人或事物来欺骗别人。句意涉及“京剧”和“交响乐”两个主体，并根据“还是异想天开”可知，空处应填入与“异想天开”相对的词语，并且能表示二者“嫁接”后取得好效果的意思，因此“相得益彰”更符合句义。A项正确。|||||||言语理解与表达|未完成||单选||0
24|24|1|"近年的欧洲连续经历严寒的冬天，这似乎与全球气候变暖的说法相左。但在不少专家看来，异常寒冷事件并未说明气候变暖趋势______，相反，这是气候变暖大背景下全球极端天气愈加频发的______。
依次填入划横线部分最恰当的一项是（  ）
"|偏转  表现|逆转  缩影|倒转  象征|反转  预兆|B|根据“但”、“相反”等转折、否定性词语可知，专家重在说明尽管出现了异常寒冷事件，但气候变暖的趋势没有发生变化。由于句中用了“并未”，第一空应填入一个表示相反意思的词语，“逆转”符合句意。再将“缩影”代入第二空，符合句意。因此B项正确。|||||||言语理解与表达|未完成||单选||0
25|25|1|"20年市场经济改革，把中国经济送上了持续增长的快车道，把在现代化道路上艰苦跋涉的中国人推上了一个高峰。然而，_______。我们一刻不曾忘记发展中那些“不平衡、不协调、不可持续”的风险隐患；_______，“发展起来以后的问题不比不发展时少”。依次填入划横线部分最恰当的一项是（  ）
"|夕惕若厉  如履薄冰|防患未然  戒骄戒躁|常备不懈  未雨绸缪|居安思危  喜中有忧|D|第一空，根据“一刻不曾忘记发展中那些‘不平衡、不协调、不可持续’的风险隐患”，“居安思危”吻合句义。第二空，根据“发展起来以后的问题不比不发展时少”，表示既有喜悦的地又有令人担忧的问题，“喜中有忧”符合句意。因此D项正确。|||||||言语理解与表达|未完成||单选||0
26|26|1|在一定程度上，全球化是对民族性的______和挑战。它要求我们既要从民族的角度进行思考，也要学会从全球的角度进行分析；既要进行纵向思维，在发展中传承历史经验，也要注重横向思维，在_____      中汲取他人之长。依次填入划横线部分最恰当的一项是（  ）|同化  交流|排斥  沟通|超越  比较|吸纳  协商|C|从第二空入手，根据“纵向思维”、“横向思维”、“汲取他人之长”，可知第二空应填入一个体现思维方法的词语，“比较”最合适，因为只有“比较”才能发现自己的不足，看到别人的长处。将“超越”代入第一空，符合句意。因此C项正确。|||||||言语理解与表达|未完成||单选||0
27|27|1|影响消费者口碑的，有时不是产品的主体，而是一些不太引人注目的“零部件”。如西服的纽扣、家电的按钮等等，这些______的失误，却足以引起消费者的反感。赢得口碑必须对各项基础工作做得非常细致、到位并_______，只有产品和服务水平超过顾客的期望，才能让消费者在快乐享受的同时，广泛地进行传播。依次填入划横线部分最恰当的一项是（  ）|随处可见  面面俱到|漫不经心  有的放矢|司空见惯  无微不至|微不足道  持之以恒|D|“漫不经心”指随随便便，不放在心上。“司空见惯”形容经常看到的事物，不足为奇。根据“一些不太引人注目的‘零部件’”，第一空填入“微不足道”最恰当。“随处可见”、“漫不经心”、“司空见惯”都不符合句意。将“持之以恒”代入第二空，符合句意。因此D项正确。|||||||言语理解与表达|未完成||单选||0
28|28|1|覆盖全国的高速公路网已经形成，高速铁路网正在迅速形成。中国已经是世界上最大的人力流动和物资流动国家，过去那种“______”的产业分工格局已被打破，地区间产业分工趋向合理；全国范围内的产业链______迅速推进，高效统一的全国大市场正在形成之中。依次填入划横线部分最恰当的一项是（  ）|自成一体  整合|壁垒分明  升级|各自为政  运转|条块分割  扩充|A|从第二空入手。根据“高效统一的全国大市场正在形成之中”，句意强调将全国分散的产业聚集起来，“整合”更恰当。“升级”指规模扩大、程度加深、活动加剧。“扩充”指扩大充实，扩大增加。“运转”指正常运行。这三个词语都不能体现“统一”的含义。排除B、C、D三项。再看第一空，“自成一体”能体现出过去产业很少流动、分工的局面。因此A项正确。|||||||言语理解与表达|未完成||单选||0
29|29|1|无论是古代的邮驿系统还是现代的邮政系统，书信从寄信人到收信人手中，都需要经过一个时间、空间的旅行，它的特点是慢。而这种慢又______了人们的情感体验方式和书信体验方式。正是因为书信的______，古人的时空感知才变得遥远而漫长，而等待、盼望、忐忑、焦虑等等，便成为这种时空感的产物。依次填入划横线部分最恰当的一项是（  ）|成就  真实|培养  细腻|塑造  迟缓|丰富  浪漫|C|从第二空入手，根据“正是因为”，可知第二空应填入与前面相对应的词语。前面讲述的重点是书信慢的特点。因此C项的“迟缓”更合适。将“塑造”代入第一空，符合句意。|||||||言语理解与表达|未完成||单选||0
30|30|1|经过墨子及其弟子们的毕生努力，《墨经》终于脱稿成书。在那古奥的外表下，数学、力学、光学等科学知识______其中，一些概念定义和科学发现与西方近代科学十分______，闪耀着惊人的智慧之光。依次填入划横线部分最恰当的一项是（  ）|散布  接近|汇聚  吻合|罗列  相似|融合  对应|A|第一空，“数学、力学、光学等科学知识”出现于《墨经》中，这些不同的科学知识应该是出现在《墨经》中的不同章节，“散步”符合句意。第二空，句意是说《墨经》中的“一些概念定义和科学发现与西方近代科学”有相同点，“接近”符合句义，“吻合”在这里不符合实际。|||||||言语理解与表达|未完成||单选||0
31|31|1|元代的方回，论诗颇有眼力，而对朱熹的诗却抬举过分，事出反常。这里除了有乡里私心的原因之外，很可能与方回“秽德彰闻，依托道学”的隐曲有关，文人既心存依附之念，势必______，再如，中国古代文论的作者，常常自己就兼作家身份，“文章得失寸心知”，发而为论，时有取长补短或____的隐衷。依次填入划横线部分最恰当的一项是（  ）|进退维谷  才短思涩|随波逐流  博采众长|进退失据  扬长避短|骑虎难下  避实就虚|C|第一空，句意讲方回“论诗颇有眼力，而对朱熹的诗却抬举过分，事出反常”，说明方回处于一种“两难”的状况，“进退维谷”与“进退失据”能表示此种境况，从而排除C、D两项。根据“或”可知，第二空应填入与“取长补短”意思相近的词语，“扬长避短”更合适，因此D项正确。|||||||言语理解与表达|未完成||单选||0
32|32|1|"尽管诗歌绝无翻译的可能，却大有翻译介绍的必要。有多位前辈时贤对诗歌翻译理论不乏鞭辟入里的      ______。然而，何谓诗歌翻译的理想形式却_____。依次填入划横线部分最恰当的一项是（  ）
"|不易之论  各持己见|远见卓识  众说纷纭|真知灼见  各执一端|不刊之论  见仁见智|D|“不易之论”指不可更改的言论，形容论断或意见非常正确。“远见卓识”指有远大的眼光和高明的见解。“真知灼见”指正确而透彻的见解。“不刊之论”指正确的、不可修改的言论。因为第一空处前面已有“鞭辟入里”修饰，再用“远见卓识”与“真知灼见”的会导致意思重复，不合句意，排除B、C两项。第二空，根据“然而”可知，对于“诗歌翻译的理想形式”没有达成共识。“见仁见智”表示不同的人有不同的看法。“各持己见”表示坚持自己的意见和观点。句意没有前辈时贤要坚持自己观点的意思。“见仁见智”更恰当。因此D项正确。|||||||言语理解与表达|未完成||单选||0
33|33|1|"在伦敦的日子里，我每天乘着红色的双层巴士在大街上______，每天都有新发现。一次，在皮卡迪利广场，我有看到读小说的乞丐。在慵懒的夕阳下，那乞丐穿戴齐整，_______地坐在马路旁，面前放着一个供路人扔硬币的碗。他那书放在碗旁的地面上，低着头，用手指指着页面，一行一行地读着。他读得那样认真，身边的车水马龙，周遭的一切____，似乎都不复存在。依次填入划横线部分最恰当的一项是（  ）
"|穿梭  神情自若  喧嚣|穿行  泰然自若  喧闹|踯躅  置若罔闻  喧腾|徘徊  旁若无人  喧哗|A|第一空，“踯躅”、“徘徊”都含犹豫不决的意思，明显不合句意，首先排除C、D两项。“穿行”指通过，通行。“穿梭”指像织布的梭子来往频繁，多指穿过繁忙拥挤的地方。根据“乘着红色的双层巴士在大街上”，“穿梭”更恰当。“神情自若”指神情态度仍和原来一样，十分自然。“泰然自若”形容在紧急情况下沉着镇定。第二空，根据“在慵懒的夕阳下，那乞丐穿戴齐整”，“神情自若”更符合语境。第三空，“喧嚣”与车水马龙的环境相符合。因此A项正确。|||||||言语理解与表达|未完成||单选||0
